ano-mes-dia horario,mp10 (ug/m3),mp25 (ug/m3)
2020-01-01,16.218936884874385,10.229752013996807
2020-01-02,5.945730792163084,3.334249169040836
2020-01-03,4.968341701926203,1.2500462367277496
2020-01-04,3.5237125806078353,1.2407929994388327
2020-01-05,6.04632083943702,2.2752245141047225
2020-01-06,6.07975563540132,2.413592879921005
2020-01-07,11.052527285957899,4.906168433450457
2020-01-08,6.429493140991416,3.543340118600535
2020-01-09,6.501779609913664,3.4897624212207545
2020-01-10,9.823602527438984,4.7398018231745
2020-01-11,6.1193762202385,3.2346875944271773
2020-01-12,8.470964581910016,5.669808933350599
2020-01-13,10.958445344200554,5.530766114672365
2020-01-14,11.142651511659482,3.9326596694769935
2020-01-15,10.736316126003626,4.651447256447256
2020-01-16,6.213932060809593,2.4327511613637043
2020-01-17,4.718190852296622,1.9201471469788778
2020-01-18,8.59274494949495,1.838182214775965
2020-01-19,5.696616987179487,2.256564644845895
2020-01-20,7.05499083020958,1.898728428790929
2020-01-21,9.182917054920004,2.691493556444471
2020-01-22,9.323909737060779,3.123920029623155
2020-01-23,5.480925925925926,2.246547481261023
2020-01-24,6.327165371817624,2.347250844192171
2020-01-25,11.423225193980402,4.766260899594233
2020-01-26,16.53984287317621,7.14638065349003
2020-01-27,12.007475651277735,4.93299269403436
2020-01-28,13.505609081541166,8.167191081287616
2020-01-29,15.695315810347063,8.873252193408444
2020-01-30,10.123480696386947,4.751798012173013
2020-01-31,7.3687522176897176,3.299601374320124
2020-02-01,10.958911502849002,6.5099258368945865
2020-02-02,10.32010794845755,5.245166561658039
2020-02-03,6.506609481178172,2.5504839272438202
2020-02-04,5.593214959507598,1.9115181663388334
2020-02-05,4.425805485712789,1.4714506300771444
2020-02-06,7.869850766768091,3.960567714766518
2020-02-07,7.630423438473151,3.0940937891530567
2020-02-08,9.875198484846445,4.095664485890081
2020-02-09,7.141645027719609,3.3264297045547044
2020-02-10,4.735111522022611,1.2798994643273223
2020-02-11,6.483636642649613,1.6533848307238586
2020-02-12,7.143459145362174,1.820178150963782
2020-02-13,6.958539527602027,1.9176105087042588
2020-02-14,6.666452413327414,2.3382871295371297
2020-02-15,11.971489065781583,4.676861809022184
2020-02-16,13.20776843104114,7.486062473050656
2020-02-17,12.352268751286474,5.050856358609521
2020-02-18,12.163695319919277,5.514628112049986
2020-02-19,9.847759189113356,4.263461734060692
2020-02-20,10.569996758629246,4.622248695705457
2020-02-21,6.584050082826124,2.8240995491776744
2020-02-22,6.423630859880859,3.1997960979992226
2020-02-23,8.04562875083932,2.319638532681368
2020-02-24,7.666739165596774,2.6526607796806556
2020-02-25,9.310694692033008,5.690391183896618
2020-02-26,5.060791611426395,2.1529826664941187
2020-02-27,11.483275995802037,2.8413936035029788
2020-02-28,10.840928718272467,3.1457877250064747
2020-02-29,7.08684031150177,2.2010204272964686
2020-03-01,5.272839225531663,1.6793853508003942
2020-03-02,8.332869239391712,1.9750108719979487
2020-03-03,8.091763198221532,2.3243472384097386
2020-03-04,13.581925165878511,3.785674088642839
2020-03-05,10.774791463031358,3.0217703679422434
2020-03-06,11.688419533755477,3.800992825703951
2020-03-07,9.888364386315077,3.9149687446041614
2020-03-08,11.283624565612543,3.8783757783497363
2020-03-09,10.94386895161685,3.914667137035277
2020-03-10,20.164338322040667,8.16472254019129
2020-03-11,11.45602580499923,4.223577198264699
2020-03-12,13.230839622693297,4.851416320947571
2020-03-13,14.256181052743553,6.92795943061568
2020-03-14,12.150026085026084,5.3636222631535135
2020-03-15,15.291766610908155,8.607760225069049
2020-03-16,13.169425273761988,7.490498674839183
2020-03-17,12.009383022333536,7.662795121115136
2020-03-18,11.028921641965283,5.256265199508052
2020-03-19,5.064022564156493,2.1925766223757295
2020-03-20,9.658948938167688,5.267266387240345
2020-03-21,8.109538222362392,3.1423924824799006
2020-03-22,6.106640037212954,2.645257563851314
2020-03-23,6.172800100612762,1.8844914477097232
2020-03-24,4.903610887164254,1.5319378040238334
2020-03-25,5.908188867707583,1.8031106007349742
2020-03-26,6.680411928808106,2.0191817356611605
2020-03-27,6.763240425258492,2.3601762669424535
2020-03-28,7.239254281194735,2.772572454680756
2020-03-29,13.3865854672523,7.972489405352723
2020-03-30,11.7425586706528,7.235627776846074
2020-03-31,12.257841453492494,7.1123742087387924
2020-04-01,9.487585692156484,4.809341151793533
2020-04-02,8.89151271215394,4.048644356991954
2020-04-03,6.377528620042727,2.7403749951404173
2020-04-04,11.872286542188812,4.4701146485656915
2020-04-05,14.652261373742848,5.543571663114796
2020-04-06,13.404500151635562,5.636504100747674
2020-04-07,9.884084740330781,4.587523694644927
2020-04-08,9.57663537085414,3.357688436056338
2020-04-09,8.601139442842522,2.975429514196709
2020-04-10,10.098797023340454,3.922732566103577
2020-04-11,8.654086536793995,2.5661011529222093
2020-04-12,9.50620817529648,3.1004991084113804
2020-04-13,10.069231627907845,3.611565580929691
2020-04-14,8.242960084299058,2.948412573981257
2020-04-15,8.103203687387715,2.751374525267678
2020-04-16,9.875296670808568,3.658639393493726
2020-04-17,8.731222044617782,3.886635002647299
2020-04-18,8.894791823641526,4.186031326184887
2020-04-19,9.49020658194319,4.473454130444364
2020-04-20,9.06904971875824,3.7904992136601043
2020-04-21,7.113319129751422,3.007188202565161
2020-04-22,7.525012201918452,3.4145248133635024
2020-04-23,11.069184660618813,4.279061300422561
2020-04-24,11.137837550924605,6.161182890629805
2020-04-25,18.27532567538557,7.949930913099726
2020-04-26,15.395211323853065,5.844658410343422
2020-04-27,11.201732737434734,5.618787215699924
